sentence1,sentence2,similarity_score
A brown dog is running in the snow,A dog is running through the white snow,4.3
A brown dog is running in the snow,A dog is running through the snow,4.2
An elderly man is sitting on a bench,A young man is sitting on a bench,3.4
An elderly woman is sitting on a bench and is wearing a gray jacket and black pants,An elder man is sitting on a bench and is wearing a gray jacket and black pants,3.5
An elderly man is sitting on a bench,The woman is sitting on a bench and is wearing a gray jacket and black pants,2.8
An elderly woman is sitting on a bench and is wearing a gray jacket and black pants,An old person is sitting on a bench,4.0
An elderly woman is sitting on a bench and is wearing a gray jacket and black pants,An elderly man is sitting on a bench,3.0
A dog is fetching a stick out of very clear water,A dog is fetching a stick out of very dirty water,4.0
A small black and white dog is carrying a stick and is swimming,A small black and white dog is biting a stick and is swimming,4.3
A small black and white dog is carrying a stick and is swimming,A big black and white dog is carrying a stick and is swimming,4.0
A dog is fetching a stick out of very clear water,A small black and white dog is biting a stick and is swimming,3.8
A dog is fetching a stick out of very clear water,A big black and white dog is carrying a stick and is swimming,3.4
A dog is fetching a piece of wood out of very clear water,A small black and white dog is carrying a stick and is swimming,3.9
A dog is fetching a stick out of very clear water,A small black and white dog is carrying a stick and is swimming,3.4
The girl is painting a coverall blue,The lady is holding the paintbrush next to the artist's easel ,2.4
The girl in the blue coverall is painting,The woman is holding the paintbrush next to the artist's easel ,3.5
The girl in the blue coverall is painting,There is no lady holding the paintbrush next to the artist's easel ,2.8
The lady is holding the paintbrush next to the artist's easel ,The girl in the blue coverall is painting,3.1
A yellow dog is running down a path covered by sand,A golden retriever is running,3.6
A yellow dog is running up a sandy path,A golden retriever is running,4.0
A yellow dog is running down a sandy path,A golden retriever is not running,3.0
A black and white dog is jumping for a ball,The black and white dog is jumping for the ball,4.9
There is no black and white dog jumping for a ball,A black and white dog is jumping for a ball,3.2
There is no dog standing on one leg and is waiting for a soccer ball,A dog is standing on one leg and is waiting for a soccer ball,4.2
There is no dog standing on one leg and is waiting for a soccer ball,A black and white dog is jumping for a ball,3.0
A dog is standing on one leg and is waiting for a soccer ball,The black and white dog is jumping for the ball,3.8
People are riding two camels at the beach,People are riding two camels on the sand,4.9
No people are riding camels at the beach,People are riding two camels at the beach,3.7
People are riding two camels on the sand,Two people are seated on a camel and another camel is in the foreground,3.9
A barefoot man in pajamas is looking toward the stars and is walking on the tennis court,A barefoot man in pajamas is looking toward the sky and is walking on the tennis court,4.6
A barefoot man in pajamas is looking toward the sky and is standing on the tennis court,A man is wearing a blue shirt and walking barefoot on a tennis court,3.4
The man is standing in a lake near a waterfall,The man is standing in a body of water near a waterfall,4.7
The man is swimming in a body of water near a waterfall,The man is standing in a body of water near a waterfall,4.0
A woman is standing in the water at the base of a waterfall,A man is standing in the water at the base of a waterfall,3.6
The man is standing in the water at the base of a waterfall,The man is standing in a body of water near a waterfall,4.3
A man is standing in the water at the base of a waterfall,The man is standing in a lake near a waterfall,4.1
A man is standing in the water at the base of a waterfall,The man is swimming in a body of water near a waterfall,3.7
A man is standing in the water at the base of a waterfall,The man is standing in a body of water near a waterfall,4.2
A brown and white dog is running through the river,A brown and white dog is not running through the river,3.6
A dog is emerging from a lake,An animal is emerging from a lake,4.6
No dog is emerging from a lake,A dog is emerging from a lake,4.0
A brown and white dog is running through the river,An animal is emerging from a lake,2.5
A dog is emerging from a lake,A brown and white dog is running through the river,3.1
A brown and white dog is catching a dirty tennis ball in a dirt field,A brown and white dog is biting a dirty tennis ball in a dirt field,4.1
A dog is running on the beach and chasing a ball,A dog is running on the sand and chasing a ball,4.4
A dog is running on the grass and chasing a ball,A brown and white dog is catching a dirty tennis ball in a dirt field,3.9
A dog is running on the sand and chasing a ball,A brown and white dog is biting a dirty tennis ball in a dirt field,3.4
A dog is running on the sand and chasing a ball,A brown and white dog is catching a dirty tennis ball in a dirt field,3.5
A shirtless man is escorting a horse that is pulling a carriage along a paved road,A shirtless man is escorting a horse that is pulling a carriage along a road,4.9
A shirtless man is escorting a horse that is pulling a carriage along a dirty road,A shirtless man is leading a horse that is pulling a carriage,4.3
A shirtless man is escorting a horse that is pulling a carriage along a paved road,A shirtless man is leading a carriage that is being pulled by a horse,4.6
